survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,fare_log,fare_boxcox
0,2,1,22.0,1,0,7.25,2,3,1,1,0,0,0,2.1102132003465894,1.883215700692515
1,0,0,38.0,1,0,71.2833,0,1,2,0,1,1,0,4.2805931204649,3.414047345166194
1,2,0,26.0,0,0,7.925,2,3,2,0,0,1,1,2.188856327665703,1.9453000941564331
1,0,0,35.0,1,0,53.1,2,1,2,0,0,1,0,3.9908341858524357,3.2301823390039366
0,2,1,35.0,0,0,8.05,2,3,1,1,0,0,1,2.2027647577118348,1.9562242515698263
0,2,1,24.0,0,0,8.4583,1,3,1,1,2,0,1,2.246892662898172,1.9907734029911806
0,0,1,54.0,0,0,51.8625,2,1,1,1,0,0,1,3.967694202798607,3.21524475545759
0,2,1,2.0,3,1,21.075,2,3,3,0,0,0,0,3.0944457464900235,2.6228224024692564
1,2,0,27.0,0,2,11.1333,2,3,2,0,0,1,0,2.495953738718064,2.182658176000245
1,1,0,14.0,1,0,30.0708,0,2,3,0,1,1,0,3.436268471383741,2.8615187940664017
1,2,0,4.0,1,1,16.7,2,3,3,0,0,1,0,2.8735646395797834,2.463737742145464
1,0,0,58.0,0,0,26.55,2,1,2,0,0,1,1,3.3160025355989236,2.778557895881126
0,2,1,20.0,0,0,8.05,2,3,1,1,0,0,1,2.2027647577118348,1.9562242515698263
0,2,1,39.0,1,5,31.275,2,3,1,1,0,0,0,3.4742929367327062,2.8875210149241997
0,2,0,14.0,0,0,7.8542,2,3,3,0,0,0,1,2.180891922715322,1.93903704877462
1,1,0,55.0,0,0,16.0,2,2,2,0,0,1,1,2.833213344056216,2.434255791735857
0,2,1,2.0,4,1,29.125,1,3,3,0,2,0,0,3.405355391810819,2.840299252028104
1,1,1,29.0,0,0,13.0,2,2,1,1,0,1,1,2.6390573296152584,2.2905552238882727
0,2,0,31.0,1,0,18.0,2,3,2,0,0,0,0,2.9444389791664403,2.515205110870153
1,2,0,24.0,0,0,7.225,0,3,2,0,1,1,1,2.1071782966514356,1.880809033479897
0,1,1,35.0,0,0,26.0,2,2,1,1,0,0,1,3.295836866004329,2.7645396242206477
1,1,1,34.0,0,0,13.0,2,2,1,1,0,1,1,2.6390573296152584,2.2905552238882727
1,2,0,15.0,0,0,8.0292,1,3,3,0,2,1,1,2.2004637699272855,1.9544181304258843
1,0,1,28.0,0,0,35.5,2,1,1,1,0,1,1,3.597312260588446,2.9709039661441774
0,2,0,8.0,3,1,21.075,2,3,3,0,0,0,0,3.0944457464900235,2.6228224024692564
1,2,0,38.0,1,5,31.3875,2,3,2,0,0,1,0,3.4777725458882283,2.889895044840141
0,2,1,24.0,0,0,7.225,0,3,1,1,1,0,1,2.1071782966514356,1.880809033479897
0,0,1,19.0,3,2,263.0,2,1,1,1,0,0,0,5.575949103146316,4.167994881161111
1,2,0,24.0,0,0,7.8792,1,3,2,0,2,1,1,2.1837114628556327,1.9412549049296968
0,2,1,24.0,0,0,7.8958,2,3,1,1,0,0,1,2.1855792552411137,1.9427237356264735
0,0,1,40.0,0,0,27.7208,0,1,1,1,1,0,1,3.357621598945279,2.8073914873062176
1,0,0,37.0,1,0,146.5208,0,1,2,0,1,1,0,4.993969182787072,3.8425117596934406
1,2,0,24.0,0,0,7.75,1,3,2,0,2,1,1,2.169053700369523,1.9297175682817873
0,1,1,66.0,0,0,10.5,2,2,1,1,0,0,1,2.4423470353692043,2.1418006055672634
0,0,1,28.0,1,0,82.1708,0,1,1,1,1,0,0,4.420896324687287,3.5009922402714824
0,0,1,42.0,1,0,52.0,2,1,1,1,0,0,0,3.970291913552122,3.21692355414975
1,2,1,24.0,0,0,7.2292,0,3,1,1,1,1,1,2.1076888046179385,1.8812139205814788
0,2,1,21.0,0,0,8.05,2,3,1,1,0,0,1,2.2027647577118348,1.9562242515698263
0,2,0,18.0,2,0,18.0,2,3,2,0,0,0,0,2.9444389791664403,2.515205110870153
1,2,0,14.0,1,0,11.2417,0,3,3,0,1,1,0,2.5048481563289,2.189413987999435
0,2,0,40.0,1,0,9.475,2,3,2,0,0,0,0,2.348991465808201,2.070069913538365
0,1,0,27.0,1,0,21.0,2,2,2,0,0,0,0,3.091042453358316,2.6204004582415186
0,2,1,24.0,0,0,7.8958,0,3,1,1,1,0,1,2.1855792552411137,1.9427237356264735
1,1,0,3.0,1,2,41.5792,0,2,3,0,1,1,0,3.7513658711253766,3.0737434846409677
1,2,0,19.0,0,0,7.8792,1,3,2,0,2,1,1,2.1837114628556327,1.9412549049296968
0,2,1,24.0,0,0,8.05,2,3,1,1,0,0,1,2.2027647577118348,1.9562242515698263
0,2,1,24.0,1,0,15.5,1,3,1,1,2,0,0,2.803360380906535,2.412359892682302
0,2,1,24.0,2,0,21.6792,0,3,1,1,1,0,0,3.1214482048688246,2.6420065288677703
0,2,0,18.0,1,0,17.8,2,3,2,0,0,0,0,2.9338568698359038,2.5075460754180603
0,2,1,7.0,4,1,39.6875,2,3,3,0,0,0,0,3.705920919968788,3.043587395129805
0,2,1,21.0,0,0,7.8,2,3,1,1,0,0,1,2.174751721484161,1.934204773119488
1,0,0,49.0,1,0,76.7292,0,1,2,0,1,1,0,4.353230991152628,3.4592280059954206
1,1,0,29.0,1,0,26.0,2,2,2,0,0,1,0,3.295836866004329,2.7645396242206477
0,0,1,65.0,0,1,61.9792,0,1,1,1,1,0,0,4.142804513146981,3.3273448398928447
1,0,1,37.0,0,0,35.5,2,1,1,1,0,1,1,3.597312260588446,2.9709039661441774
1,1,0,21.0,0,0,10.5,2,2,2,0,0,1,1,2.4423470353692043,2.1418006055672634
0,2,1,28.5,0,0,7.2292,0,3,1,1,1,0,1,2.1076888046179385,1.8812139205814788
1,1,0,5.0,1,2,27.75,2,2,3,0,0,1,0,3.3586377672433594,2.8080938369947166
0,2,1,11.0,5,2,46.9,2,3,3,0,0,0,0,3.8691155044168695,3.151181419547756
0,2,1,22.0,0,0,7.2292,0,3,1,1,1,0,1,2.1076888046179385,1.8812139205814788
1,0,0,38.0,0,0,80.0,2,1,2,0,0,1,1,4.394449154672439,3.484705574170621
0,0,1,45.0,1,0,83.475,2,1,1,1,0,0,0,4.436455632600354,3.510551843590931
0,2,1,4.0,3,2,27.9,2,3,3,0,0,0,0,3.3638415951183864,2.8116893604126076
0,0,1,37.0,0,0,27.7208,0,1,1,1,1,0,1,3.357621598945279,2.8073914873062176
1,2,1,24.0,1,1,15.2458,0,3,1,1,1,1,0,2.7878344138303452,2.4009437945387266
1,1,0,29.0,0,0,10.5,2,2,2,0,0,1,1,2.4423470353692043,2.1418006055672634
0,2,1,19.0,0,0,8.1583,2,3,1,1,0,0,1,2.2146605719425225,1.9655543814263712
1,2,0,17.0,4,2,7.925,2,3,2,0,0,1,0,2.188856327665703,1.9453000941564331
0,2,1,26.0,2,0,8.6625,2,3,1,1,0,0,0,2.2682524139135403,2.0074365035447177
0,1,1,32.0,0,0,10.5,2,2,1,1,0,0,1,2.4423470353692043,2.1418006055672634
0,2,0,16.0,5,2,46.9,2,3,2,0,0,0,0,3.8691155044168695,3.151181419547756
0,1,1,21.0,0,0,73.5,2,2,1,1,0,0,1,4.310799125385514,3.4328792936384778
0,2,1,26.0,1,0,14.4542,0,3,1,1,1,0,0,2.737880811060884,2.36408082925627
1,2,1,32.0,0,0,56.4958,2,3,1,1,0,1,1,4.05171190165724,3.2692997101951935
0,2,1,25.0,0,0,7.65,2,3,1,1,0,0,1,2.157559320943788,1.920657154794513
1,1,1,0.83,0,2,29.0,2,2,3,0,0,1,0,3.4011973816621555,2.837439576768067
1,2,0,30.0,0,0,12.475,2,3,2,0,0,1,1,2.600836116795061,2.2619032660702967
0,2,1,22.0,0,0,9.0,2,3,1,1,0,0,1,2.302585092994046,2.034138105292032
1,2,1,29.0,0,0,9.5,2,3,1,1,0,1,1,2.3513752571634776,2.0719107020982
1,2,0,24.0,0,0,7.7875,1,3,2,0,2,1,1,2.1733302571367834,1.933085629910617
0,0,1,28.0,0,0,47.1,2,1,1,1,0,0,1,3.8732821771117156,3.1539032977363215
1,1,0,17.0,0,0,10.5,2,2,2,0,0,1,1,2.4423470353692043,2.1418006055672634
1,2,0,33.0,3,0,15.85,2,3,2,0,0,1,0,2.8243506567983707,2.427762883745839
0,2,1,16.0,1,3,34.375,2,3,1,1,0,0,0,3.5660053559634015,2.9497909400864017
1,0,0,23.0,3,2,263.0,2,1,2,0,0,1,0,5.575949103146316,4.167994881161111
0,2,1,24.0,0,0,8.05,2,3,1,1,0,0,1,2.2027647577118348,1.9562242515698263
0,2,1,29.0,0,0,8.05,2,3,1,1,0,0,1,2.2027647577118348,1.9562242515698263
0,2,1,20.0,0,0,7.8542,2,3,1,1,0,0,1,2.180891922715322,1.93903704877462
0,0,1,46.0,1,0,61.175,2,1,1,1,0,0,0,4.1299529896894684,3.319190914321865
0,2,1,26.0,1,2,20.575,2,3,1,1,0,0,0,3.0715352369694915,2.606500696325152
0,2,1,59.0,0,0,7.25,2,3,1,1,0,0,1,2.1102132003465894,1.883215700692515
0,0,1,71.0,0,0,34.6542,0,1,1,1,1,0,1,3.57386695198272,2.9550995504093116
1,0,1,23.0,0,1,63.3583,0,1,1,1,1,1,0,4.164465907853638,3.341062318764579
1,1,0,34.0,0,1,23.0,2,2,2,0,0,1,0,3.1780538303479458,2.68203803664708
0,1,1,34.0,1,0,26.0,2,2,1,1,0,0,0,3.295836866004329,2.7645396242206477
0,2,0,28.0,0,0,7.8958,2,3,2,0,0,0,1,2.1855792552411137,1.9427237356264735
0,0,1,21.0,0,1,77.2875,2,1,1,1,0,0,0,4.360387947851531,3.4636601196328103
0,2,1,33.0,0,0,8.6542,2,3,1,1,0,0,1,2.267393053825037,2.0067668578601126
0,2,1,37.0,2,0,7.925,2,3,1,1,0,0,0,2.188856327665703,1.9453000941564331
0,2,1,28.0,0,0,7.8958,2,3,1,1,0,0,1,2.1855792552411137,1.9427237356264735
1,2,0,21.0,0,0,7.65,2,3,2,0,0,1,1,2.157559320943788,1.920657154794513
1,2,1,24.0,0,0,7.775,2,3,1,1,0,1,1,2.1719067693519296,1.9319647182517203
0,2,1,38.0,0,0,7.8958,2,3,1,1,0,0,1,2.1855792552411137,1.9427237356264735
1,2,0,24.0,1,0,24.15,1,3,2,0,2,1,0,3.224857896545748,2.714950157062132
